id,category_id,name,file_link,thumbnail,created_at,updated_at
d83eb77f-7e82-4322-819c-29614052c82e,e03aab51-4edc-47cc-ae20-822ce7bf5b1f,CoCubes English 1.1,https://drive.google.com/file/d/1yiY_kiOgLW7qEfbb8PR86hAHFlh17OVu/view?usp=sharing,https://lh3.googleusercontent.com/d/1yiY_kiOgLW7qEfbb8PR86hAHFlh17OVu=s1024?authuser=0,2025-09-18 12:15:41.446893+00,2025-09-18 12:15:41.446893+00
d846ee17-6deb-4247-97e0-51725a80bb5e,31813368-1565-4d1a-948e-fa187549ccb1,Database System Concepts - Korth,https://drive.google.com/file/d/1QLhwk7T6pbi3Ii_TKc-WZQsuqy91E4u1/preview,https://lh3.googleusercontent.com/d/1QLhwk7T6pbi3Ii_TKc-WZQsuqy91E4u1=s1024?authuser=0,2025-09-29 11:04:50.458116+00,2025-09-29 11:04:50.458116+00
d847bd7e-4d12-441d-836b-dc24a4d66a2a,81e2cb16-537f-49f3-b2a2-50402469b2af,Python Tricks The Book,https://drive.google.com/file/d/1_LU7E5mqVPFANRDCGlGe2TN4mKj3pmaq/preview,https://lh3.googleusercontent.com/d/1_LU7E5mqVPFANRDCGlGe2TN4mKj3pmaq=s1024?authuser=0,2025-09-29 11:04:34.450458+00,2025-09-29 11:04:34.450458+00
d84d37ef-06b4-4ea0-b698-57dce24ac9d2,7046f6dc-993f-42b0-a247-0c2e27fe610e,TCS PDF 2,https://drive.google.com/file/d/1fzeZw2-kSoscRz0klZ4ppOYDHXh0AxgH/view?usp=sharing,https://lh3.googleusercontent.com/d/1fzeZw2-kSoscRz0klZ4ppOYDHXh0AxgH=s1024?authuser=0,2025-09-18 12:17:48.648038+00,2025-09-18 12:17:48.648038+00
d87c06eb-9971-4060-ad97-9cd5e3b3fa94,a3665f65-642f-4f92-920e-02fe598cb77f,AMCAT Logical Reasoning,https://drive.google.com/file/d/1-NO_48uc_im9aDhXynrHHJKnxJjA9QiN/view?usp=sharing,https://lh3.googleusercontent.com/d/1-NO_48uc_im9aDhXynrHHJKnxJjA9QiN=s1024?authuser=0,2025-09-18 12:14:38.485718+00,2025-09-18 12:14:38.485718+00
d8900825-563f-4deb-9b0b-3fb1725968df,6b4a161f-4ede-4db4-832d-55c6dcbe12f2,Practice Test EEE,https://drive.google.com/file/d/1bT4No1gxp8X1wfZhxVTY6Jn8TIiH6jz5/preview,https://lh3.googleusercontent.com/d/1bT4No1gxp8X1wfZhxVTY6Jn8TIiH6jz5=s1024?authuser=0,2025-09-29 11:05:37.647422+00,2025-09-29 11:05:37.647422+00
d8bb0a51-1f69-40d2-ba13-fe3118bfc362,43a236a2-1c24-49f6-a363-1d8ff9fe89c9,PowerShell Notes For Professionals,https://drive.google.com/file/d/1h_zpay2ukXTOlFqJ7w3HCpLGK3teFAIC/preview,https://lh3.googleusercontent.com/d/1h_zpay2ukXTOlFqJ7w3HCpLGK3teFAIC=s1024?authuser=0,2025-09-29 11:06:30.429214+00,2025-09-29 11:06:30.429214+00
d962bb34-fcd4-4eee-8c72-693feb1c8800,a3665f65-642f-4f92-920e-02fe598cb77f,Personality,https://drive.google.com/file/d/1KUtGMBnCrSZUJLDWEVFcRz_mvORUBKLK/view?usp=sharing,https://lh3.googleusercontent.com/d/1KUtGMBnCrSZUJLDWEVFcRz_mvORUBKLK=s1024?authuser=0,2025-09-18 12:14:48.658801+00,2025-09-18 12:14:48.658801+00
d9f9df25-497b-49e9-9dad-f1b31b9adb77,a3665f65-642f-4f92-920e-02fe598cb77f,AMCAT English Placement Papers 2,https://drive.google.com/file/d/1-3_i5hJhlOkJBSaXom4rG2c6W99CvNyt/view?usp=sharing,https://lh3.googleusercontent.com/d/1-3_i5hJhlOkJBSaXom4rG2c6W99CvNyt=s1024?authuser=0,2025-09-18 12:14:38.107714+00,2025-09-18 12:14:38.107714+00
da296eea-9cae-431d-b31c-3286163ab751,487b8c70-4551-471f-8c2a-67e1a0c458cb,Cognizant Previous Year Paper,https://drive.google.com/file/d/1823QDSaV_oZkrijkrSarhrYcbd2-7R8K/view?usp=sharing,https://lh3.googleusercontent.com/d/1823QDSaV_oZkrijkrSarhrYcbd2-7R8K=s1024?authuser=0,2025-09-18 12:15:34.037782+00,2025-09-18 12:15:34.037782+00
